               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12547,            0.056974,            0.027118,          0.00029392,           0.0072464,           0.0001687,          3.9527e-05,            0.067982,            0.029303,            0.013504,              0.0004,              0.0004,              0.0964
                   1,             0.12094,            0.061175,            0.026677,          0.00036618,           0.0093168,          0.00019116,          2.3239e-05,            0.059151,             0.02886,            0.012435,          0.00089955,          0.00089955,              0.0919
                   2,             0.11266,            0.063142,              0.0251,           0.0037894,            0.098344,           0.0077697,           0.0013036,            0.052523,            0.028749,            0.011766,           0.0013986,           0.0013986,            0.087399
                   3,            0.095559,            0.070869,             0.02346,            0.039315,             0.22981,            0.047065,           0.0087289,            0.047745,            0.027656,             0.01103,           0.0018972,           0.0018972,            0.082897
                   4,             0.08516,            0.071752,            0.020694,             0.15132,             0.19048,             0.13543,            0.028652,            0.040414,            0.027246,           0.0091303,           0.0023952,           0.0023952,            0.078395
                   5,            0.077136,            0.075845,            0.015739,             0.18476,             0.28675,             0.21029,            0.073361,            0.036772,            0.027463,           0.0077355,           0.0028928,           0.0028928,            0.073893
                   6,            0.077983,             0.07623,            0.014409,             0.67699,              0.3706,             0.19657,            0.073853,            0.033258,            0.027207,           0.0039668,           0.0033899,           0.0033899,             0.06939
                   7,            0.070921,             0.07461,            0.010847,             0.66016,              0.3625,             0.16594,            0.045572,            0.037576,            0.023493,           0.0036933,           0.0038865,           0.0038865,            0.064886
                   8,            0.070022,            0.070108,           0.0080334,               0.707,             0.36439,              0.2377,             0.06578,            0.039818,            0.019349,           0.0034244,           0.0043826,           0.0043826,            0.060383
                   9,            0.066994,            0.067881,           0.0058955,             0.74085,             0.39447,             0.28216,            0.093041,            0.036078,            0.018724,           0.0031819,           0.0048782,           0.0048782,            0.055878
                  10,            0.063937,            0.062102,           0.0040243,              0.6069,              0.2205,             0.10408,            0.026968,            0.049088,            0.024249,              0.0028,           0.0053733,           0.0053733,            0.051373
                  11,            0.083835,            0.050389,           0.0038645,             0.63417,             0.36232,             0.13607,            0.045357,            0.042511,            0.016258,           0.0022048,           0.0058679,           0.0058679,            0.046868
                  12,             0.10382,            0.049229,           0.0029902,            0.033425,             0.95859,            0.072772,            0.021197,            0.058138,            0.015347,           0.0020105,            0.006362,            0.006362,            0.042362
                  13,            0.082229,            0.049493,           0.0027476,             0.85621,             0.42569,              0.4266,             0.11063,             0.04312,            0.015846,           0.0016351,           0.0068556,           0.0068556,            0.037856
                  14,            0.079767,            0.047505,           0.0029113,              0.3093,             0.82665,             0.43393,             0.11524,            0.059875,              0.0169,           0.0013158,           0.0073487,           0.0073487,            0.033349
                  15,            0.085675,            0.043099,           0.0032142,             0.14088,             0.49896,             0.16007,            0.043566,            0.060459,            0.014337,           0.0012027,           0.0078413,           0.0078413,            0.028841
                  16,             0.08904,            0.042128,           0.0036733,             0.28432,             0.71532,             0.28694,             0.12544,              0.0619,            0.011765,           0.0011324,           0.0083335,           0.0083335,            0.024333
                  17,            0.087324,            0.042974,            0.002594,             0.27851,              0.6647,             0.26266,              0.1042,            0.060215,            0.011794,            0.001092,           0.0088251,           0.0088251,            0.019825
                  18,            0.082108,             0.04379,           0.0036435,             0.25227,             0.71739,             0.28969,            0.064598,            0.055983,            0.012141,           0.0011134,           0.0093162,           0.0093162,            0.015316
                  19,            0.079719,            0.047381,           0.0033733,             0.82721,             0.36265,             0.36136,               0.116,             0.03996,            0.015932,          0.00073256,           0.0098069,           0.0098069,            0.010807
                  20,            0.083179,            0.045712,           0.0024569,              0.0791,             0.43582,             0.13289,             0.03229,             0.06119,            0.021859,            0.000705,            0.009901,            0.009901,            0.009901
                  21,            0.084164,            0.042242,           0.0027386,             0.95184,              0.4441,             0.56056,             0.23409,            0.037355,            0.015853,          0.00065732,            0.009901,            0.009901,            0.009901
                  22,            0.070401,             0.04619,            0.002833,             0.50084,             0.65839,             0.64298,             0.22932,             0.03628,             0.01727,          0.00071875,           0.0098961,           0.0098961,           0.0098961
                  23,            0.065612,            0.044538,           0.0021874,            0.051625,              0.2205,            0.080569,            0.024458,            0.064744,            0.023678,          0.00059686,           0.0098911,           0.0098911,           0.0098911
                  24,            0.088756,            0.049841,           0.0020221,            0.070309,             0.24327,            0.061215,           0.0076147,            0.067179,            0.010747,          0.00059186,           0.0098861,           0.0098861,           0.0098861
                  25,            0.084171,            0.042828,           0.0038762,             0.30849,             0.19151,              0.1824,            0.025003,            0.055324,            0.013239,          0.00070506,           0.0098812,           0.0098812,           0.0098812
                  26,            0.071273,            0.056687,           0.0056325,             0.22978,             0.49759,             0.31237,            0.090709,            0.036639,            0.020405,          0.00080217,           0.0098763,           0.0098763,           0.0098763
                  27,            0.068536,             0.05288,           0.0046112,             0.19195,             0.51346,             0.20337,            0.084874,            0.036245,            0.023002,          0.00092561,           0.0098713,           0.0098713,           0.0098713
                  28,            0.061895,            0.052262,           0.0036796,             0.28847,             0.85193,              0.4717,              0.1816,            0.035471,             0.02442,           0.0010154,           0.0098664,           0.0098664,           0.0098664
                  29,            0.071143,            0.044741,           0.0030811,             0.44373,             0.89466,             0.63118,             0.25111,            0.027395,            0.021464,           0.0010018,           0.0098614,           0.0098614,           0.0098614
                  30,            0.069297,            0.044292,           0.0033345,             0.65292,             0.88302,             0.81343,             0.29965,            0.039648,            0.019912,           0.0013005,           0.0098565,           0.0098565,           0.0098565
